1,22
22,24
24,23
23,4
4,19
19,20
20,18
19,3
3,11
11,12
12,10
11,5
5,15
15,16
16,14
15,17
17,14
5,7
7,8
8,6
7,9
9,6
11,13
13,10
3,7
7,5
5,11
3,15
15,5
19,5
11,3
15,3
7,3
19,21
21,18
4,11
3,19
5,19
4,15
4,7
23,5
19,4
7,4
15,4
11,4
22,25
25,23
1,10
10,12
12,11
4,23
5,23
10,13
13,11
1,18
18,20
20,19
18,21
21,19
1,14
14,16
16,15
14,17
17,15
1,6
6,8
8,7
6,9
9,7
18,2
2,10
2,6
2,14
10,2
14,2
6,2
2,18
23,24
23,25
25,22
24,22
10,1
18,1
22,1
14,1
6,1
